game_id,tournament_en,team1,team2,score1,score2,team1_win,bestOf,games_played,datetime
147564,DreamLeague Season 29. Closed Qualifiers,1win Team,BetBoom Team,0,2,0,3,2,2026-04-13 16:00:00
147553,DreamLeague Season 29. Closed Qualifiers,1win Team,BetBoom Team,0,2,0,3,2,2026-04-13 16:00:00
147559,DreamLeague Season 29. Closed Qualifiers,Breeki Cheeki,Power Rangers,0,2,0,3,2,2026-04-13 16:00:00
147864,European Pro League Season 36,Yellow Submarine,Team Spirit Academy,2,0,1,3,2,2026-04-13 16:00:00
147865,European Pro League Season 36,Yellow Submarine,Team Spirit Academy,2,0,1,3,2,2026-04-13 16:00:00
147554,DreamLeague Season 29. Closed Qualifiers,Breeki Cheeki,Power Rangers,0,2,0,3,2,2026-04-13 16:00:00
147562,DreamLeague Season 29. Closed Qualifiers,GLYPH,REKONIX,1,2,0,3,3,2026-04-13 15:00:00
147544,DreamLeague Season 29. Closed Qualifiers,GLYPH,REKONIX,1,2,0,3,3,2026-04-13 15:00:00
147557,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Vici Gaming,0,2,0,3,2,2026-04-13 15:00:00
147565,DreamLeague Season 29. Closed Qualifiers,Ivory,Team Nemesis,2,1,1,3,3,2026-04-13 15:00:00
147545,DreamLeague Season 29. Closed Qualifiers,Team Resilience,Vici Gaming,0,2,0,3,2,2026-04-13 15:00:00
147555,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Roar Gaming,0,2,0,3,2,2026-04-13 15:00:00
147543,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Roar Gaming,0,2,0,3,2,2026-04-13 15:00:00
147556,DreamLeague Season 29. Closed Qualifiers,GLYPH,REKONIX,1,2,0,3,3,2026-04-13 15:00:00
147558,DreamLeague Season 29. Closed Qualifiers,Ivory,Team Nemesis,2,1,1,3,3,2026-04-13 15:00:00
147541,DreamLeague Season 29. Closed Qualifiers,Ivory,Team Nemesis,2,1,1,3,3,2026-04-13 15:00:00
147539,DreamLeague Season 29. Closed Qualifiers,ALIS VENTORUS,Nigma Galaxy,2,1,1,3,3,2026-04-13 13:00:00
147534,DreamLeague Season 29. Closed Qualifiers,ALIS VENTORUS,Nigma Galaxy,2,1,1,3,3,2026-04-13 13:00:00
147546,DreamLeague Season 29. Closed Qualifiers,ALIS VENTORUS,Nigma Galaxy,2,1,1,3,3,2026-04-13 13:00:00
147872,European Pro League Season 36,Inner Circle,Ilbirs eSports,2,1,1,3,3,2026-04-13 12:00:00
147873,European Pro League Season 36,Inner Circle,Ilbirs eSports,2,1,1,3,3,2026-04-13 12:00:00
147871,European Pro League Season 36,Inner Circle,Ilbirs eSports,2,1,1,3,3,2026-04-13 12:00:00
147535,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Rune Eaters,2,0,1,3,2,2026-04-13 12:00:00
147529,DreamLeague Season 29. Closed Qualifiers,BetBoom Team,Rune Eaters,2,0,1,3,2,2026-04-13 12:00:00
147538,DreamLeague Season 29. Closed Qualifiers,MODUS,Power Rangers,1,2,0,3,3,2026-04-13 12:00:00
147536,DreamLeague Season 29. Closed Qualifiers,MODUS,Power Rangers,1,2,0,3,3,2026-04-13 12:00:00
147528,DreamLeague Season 29. Closed Qualifiers,MODUS,Power Rangers,1,2,0,3,3,2026-04-13 12:00:00
147527,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Yakult Brothers,2,0,1,3,2,2026-04-13 11:00:00
147532,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Yakult Brothers,2,0,1,3,2,2026-04-13 11:00:00
147526,DreamLeague Season 29. Closed Qualifiers,Cloud Dawning,Roar Gaming,0,2,0,3,2,2026-04-13 11:00:00
147530,DreamLeague Season 29. Closed Qualifiers,Cloud Dawning,Roar Gaming,0,2,0,3,2,2026-04-13 11:00:00
147531,DreamLeague Season 29. Closed Qualifiers,OG,REKONIX,0,2,0,3,2,2026-04-13 11:00:00
147537,DreamLeague Season 29. Closed Qualifiers,Carstensz Esports,GLYPH,1,2,0,3,3,2026-04-13 11:00:00
147533,DreamLeague Season 29. Closed Qualifiers,Carstensz Esports,GLYPH,1,2,0,3,3,2026-04-13 11:00:00
147525,DreamLeague Season 29. Closed Qualifiers,Carstensz Esports,GLYPH,1,2,0,3,3,2026-04-13 11:00:00
147524,DreamLeague Season 29. Closed Qualifiers,OG,REKONIX,0,2,0,3,2,2026-04-13 11:00:00
147506,DreamLeague Season 29. Closed Qualifiers,Execration,REKONIX,0,2,0,3,2,2026-04-13 07:00:00
147507,DreamLeague Season 29. Closed Qualifiers,GLYPH,Yangon Galacticos,2,0,1,3,2,2026-04-13 07:00:00
147512,DreamLeague Season 29. Closed Qualifiers,GLYPH,Yangon Galacticos,2,0,1,3,2,2026-04-13 07:00:00
147509,DreamLeague Season 29. Closed Qualifiers,Roar Gaming,the goal of all life is death,2,1,1,3,3,2026-04-13 07:00:00
147510,DreamLeague Season 29. Closed Qualifiers,Execration,REKONIX,0,2,0,3,2,2026-04-13 07:00:00
147517,DreamLeague Season 29. Closed Qualifiers,Yakult Brothers,Cloud Rising,2,1,1,3,3,2026-04-13 07:00:00
147523,DreamLeague Season 29. Closed Qualifiers,Roar Gaming,the goal of all life is death,2,1,1,3,3,2026-04-13 07:00:00
147508,DreamLeague Season 29. Closed Qualifiers,Yakult Brothers,Cloud Rising,2,1,1,3,3,2026-04-13 07:00:00
147511,DreamLeague Season 29. Closed Qualifiers,Yakult Brothers,Cloud Rising,2,1,1,3,3,2026-04-13 07:00:00
147513,DreamLeague Season 29. Closed Qualifiers,Roar Gaming,the goal of all life is death,2,1,1,3,3,2026-04-13 07:00:00
147514,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,Heroic,1,2,0,3,3,2026-04-13 04:00:00
147515,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,Heroic,1,2,0,3,3,2026-04-13 04:00:00
147516,DreamLeague Season 29. Closed Qualifiers,BarrancoBar,Heroic,1,2,0,3,3,2026-04-13 04:00:00
147503,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BTC Gaming,2,1,1,3,3,2026-04-13 04:00:00
147504,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BTC Gaming,2,1,1,3,3,2026-04-13 04:00:00
147505,DreamLeague Season 29. Closed Qualifiers,South America Rejects,BTC Gaming,2,1,1,3,3,2026-04-13 04:00:00
147502,DreamLeague Season 29. Closed Qualifiers,Estar Backs,BarrancoBar,1,2,0,3,3,2026-04-13 00:00:00
147497,DreamLeague Season 29. Closed Qualifiers,Heroic,chandogs,2,0,1,3,2,2026-04-13 00:00:00
147500,DreamLeague Season 29. Closed Qualifiers,Heroic,chandogs,2,0,1,3,2,2026-04-13 00:00:00
147498,DreamLeague Season 29. Closed Qualifiers,Estar Backs,BarrancoBar,1,2,0,3,3,2026-04-13 00:00:00
147501,DreamLeague Season 29. Closed Qualifiers,Estar Backs,BarrancoBar,1,2,0,3,3,2026-04-13 00:00:00
147493,DreamLeague Season 29. Closed Qualifiers,DarkStorm,Amaru Gaming,0,1,0,3,1,2026-04-12 23:00:00
147469,DreamLeague Season 29. Closed Qualifiers,Team Liquid,Natus Vincere,1,2,0,3,3,2026-04-12 21:00:00
147486,DreamLeague Season 29. Closed Qualifiers,Team Liquid,Natus Vincere,1,2,0,3,3,2026-04-12 21:00:00
147492,DreamLeague Season 29. Closed Qualifiers,Team Liquid,Natus Vincere,1,2,0,3,3,2026-04-12 21:00:00
147461,DreamLeague Season 29. Closed Qualifiers,1win Team,Nemiga Gaming,1,2,0,3,3,2026-04-12 20:00:00
147487,DreamLeague Season 29. Closed Qualifiers,Breeki Cheeki,L1ga Team,1,2,0,3,3,2026-04-12 20:00:00
147480,DreamLeague Season 29. Closed Qualifiers,South America Rejects,Gior Dota Team,2,0,1,3,2,2026-04-12 20:00:00
147481,DreamLeague Season 29. Closed Qualifiers,South America Rejects,Gior Dota Team,2,0,1,3,2,2026-04-12 20:00:00
147462,DreamLeague Season 29. Closed Qualifiers,Breeki Cheeki,L1ga Team,1,2,0,3,3,2026-04-12 20:00:00
147473,DreamLeague Season 29. Closed Qualifiers,Breeki Cheeki,L1ga Team,1,2,0,3,3,2026-04-12 20:00:00
147463,DreamLeague Season 29. Closed Qualifiers,BTC Gaming,Hokori,2,0,1,3,2,2026-04-12 20:00:00
147483,DreamLeague Season 29. Closed Qualifiers,1win Team,Nemiga Gaming,1,2,0,3,3,2026-04-12 20:00:00
147477,DreamLeague Season 29. Closed Qualifiers,BTC Gaming,Hokori,2,0,1,3,2,2026-04-12 20:00:00
147478,DreamLeague Season 29. Closed Qualifiers,GamerLegion,Not,1,0,1,3,1,2026-04-12 20:00:00
147476,DreamLeague Season 29. Closed Qualifiers,1win Team,Nemiga Gaming,1,2,0,3,3,2026-04-12 20:00:00
147456,DreamLeague Season 29. Closed Qualifiers,Virtus.pro,Zero Tenacity,2,0,1,3,2,2026-04-12 17:00:00
147448,DreamLeague Season 29. Closed Qualifiers,MOUZ,Team Lynx,2,1,1,3,3,2026-04-12 17:00:00
147455,DreamLeague Season 29. Closed Qualifiers,MOUZ,Team Lynx,2,1,1,3,3,2026-04-12 17:00:00
147460,DreamLeague Season 29. Closed Qualifiers,MOUZ,Team Lynx,2,1,1,3,3,2026-04-12 17:00:00
147449,DreamLeague Season 29. Closed Qualifiers,Virtus.pro,Zero Tenacity,2,0,1,3,2,2026-04-12 17:00:00
147444,DreamLeague Season 29. Closed Qualifiers,1win Team,MODUS,2,0,1,3,2,2026-04-12 16:00:00
147441,DreamLeague Season 29. Closed Qualifiers,Power Rangers,Nemiga Gaming,0,2,0,3,2,2026-04-12 16:00:00
147452,DreamLeague Season 29. Closed Qualifiers,1win Team,MODUS,2,0,1,3,2,2026-04-12 16:00:00
147451,DreamLeague Season 29. Closed Qualifiers,Power Rangers,Nemiga Gaming,0,2,0,3,2,2026-04-12 16:00:00
147446,DreamLeague Season 29. Closed Qualifiers,Carstensz Esports,Team Nemesis,0,2,0,3,2,2026-04-12 15:00:00
147445,DreamLeague Season 29. Closed Qualifiers,OG,Ivory,0,2,0,3,2,2026-04-12 15:00:00
147440,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Vici Gaming,0,2,0,3,2,2026-04-12 15:00:00
147434,DreamLeague Season 29. Closed Qualifiers,Mideng Dreamer,Vici Gaming,0,2,0,3,2,2026-04-12 15:00:00
147447,DreamLeague Season 29. Closed Qualifiers,Cloud Dawning,Team Resilience,0,2,0,3,2,2026-04-12 15:00:00
147436,DreamLeague Season 29. Closed Qualifiers,Carstensz Esports,Team Nemesis,0,2,0,3,2,2026-04-12 15:00:00
